Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?
pdi_11_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_11_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_11_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_12,pdi_21,,yesno,"Do you believe in the power of witchcraft, voodoo, or the occult?",,,,,,
pdi_12_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_12_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_12_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_13,pdi_21,,yesno,Are you often worried that your partner may be unfaithful?,,,,,,
pdi_13_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_13_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_13_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_14,pdi_21,,yesno,Do you ever feel that you have sinned more than the average person?,,,,,,
pdi_14_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_14_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_14_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_15,pdi_21,,yesno,Do you ever feel that people look at you oddly because of your appearance?,,,,,,
pdi_15_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_15_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_15_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_16,pdi_21,,yesno,Do you ever feel as if you had no thoughts in your head at all?,,,,,,
pdi_16_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_16_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_16_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_17,pdi_21,,yesno,Do you ever feel as if the world is about to end?,,,,,,
pdi_17_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_17_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_17_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_18,pdi_21,,yesno,Do your thoughts ever feel alien to you in some way?,,,,,,
pdi_18_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_18_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_18_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_19,pdi_21,,yesno,Have your thoughts ever been so vivid that you were worried other people would hear them?,,,,,,
pdi_19_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_19_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_19_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_20,pdi_21,,yesno,Do you ever feel as if your own thoughts were being echoed back to you?,,,,,,
pdi_20_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_20_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_20_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
pdi_21,pdi_21,,yesno,Do you ever feel as if you are a robot or zombie without a will of your own?,,,,,,
pdi_21_1,pdi_21,,radio,Distress,"1, 1 (Not at all distressing) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Very distressing)",,,,,
pdi_21_2,pdi_21,,radio,Preoccupation,"1, 1 (Hardly ever think about it) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Think about it all the time)",,,,,
pdi_21_3,pdi_21,,radio,Belief,"1, 1 (Don't believe it's true) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (Believe it is absolutely true)",,,,,
wtar_raw_score,wtar,,text,WTAR Raw Score,,,,,,
wtar_standard_score,wtar,,text,WTAR Standardized Score,,,,,,
scipversion,scip,,dropdown,SCIP Version,"1, 1 | 2, 2 | 3, 3",,,,,
trial_1,scip,List Learning,text,Trial 1,,Sum/10,,,,
trial_2,scip,,text,Trial 2,,Sum/10,,,,
trial_3,scip,,text,Trial 3,,Sum/10,,,,
total_threetrials,scip,,text,"Trials 1, 2, and 3",,Sum/30,,,,
vlt_i_z,scip,,calc,VLT_I z score,(([total_threetrials]-23.59)/2.87),,,,,
cons_rep,scip,Consonant Repetition,text,Score,,Sum/24,,,,
wmt_z,scip,,calc,WMT_z score,(([cons_rep]-20.66)/2.45),,,,,
verb_fluency,scip,Verbal Fluency,text,Score,,Sum,,,,
vft_z,scip,,calc,VFT_z score,(([verb_fluency]-17.44)/4.74),,,,,
trial_4,scip,Delayed List,text,Trial 4,,Sum/10,,,,
vlt_d_z,scip,,calc,VLT_D_z score,(([trial_4]-7.65)/1.90),,,,,
list_and_delayed,scip,List and Delayed List,text,Score,,T4/T3*100,,,,
vis_motor,scip,Visuomotor Tracking,text,Score,,Sum/30,,,,
pst_z,scip,,calc,PST_z score,(([vis_motor]-14.26)/2.25),,,,,
total_z,scip,Total Z score,calc,Total Z Score,([vlt_i_z]+[wmt_z]+[vft_z]+[vlt_d_z]+[pst_z])/5,,,,,
delusions,panss,PANSS,dropdown,P1 Delusions,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
concept_disorgan,panss,,dropdown,P2 Concept Disorganization,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
halluc_behavior,panss,,dropdown,P3 Hallucinatory Behavior,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
excitement_yms,panss,,dropdown,P4 Excitement,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
grandiosity,panss,,dropdown,P5 Grandiosity,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
suspicious_persecution,panss,,dropdown,P6 Suspiciousness/Persecution,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
hostility,panss,,dropdown,P7 Hostility,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
blunted_affect,panss,,dropdown,N1 Blunted Affect,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
emotion_withdraw,panss,,dropdown,N2 Emotional Withdrawal,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
poor_rapport,panss,,dropdown,N3 Poor Rapport,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
passive_social_withdraw,panss,,dropdown,N4 Passive Social Withdrawal,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
diffculty_abstract,panss,,dropdown,N5 Difficulty Abstract Thinking,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
spontaneity_conversation,panss,,dropdown,"N6 Lack Spontaneity, Flow Conversation","1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
sterotyped_thinking,panss,,dropdown,N7 Stereotyped Thinking,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
somatic_concern,panss,,dropdown,G1 Somatic Concern,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
anxiety,panss,,dropdown,G2 Anxiety,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
guilt,panss,,dropdown,G3 Guilt Feelings,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
tension,panss,,dropdown,G4 Tension,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
mannerisms_posturing,panss,,dropdown,"G5 Mannerisms, Posturing","1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
depression,panss,,dropdown,G6 Depression,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
motor_retard,panss,,dropdown,G7 Motor Retardation,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
uncooperative,panss,,dropdown,G8 Uncooperativeness,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
unusual_thought,panss,,dropdown,G9 Unusual Thought Content,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
disorientation,panss,,dropdown,G10 Disorientation,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
poor_attention,panss,,dropdown,G11 Poor Attention,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
judgment_insight,panss,,dropdown,"G12 Lack Judgment, Insight","1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
disturb_volition,panss,,dropdown,G13 Disturbance Volition,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
impulse_control,panss,,dropdown,G14 Poor Impulse Control,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
preoccupation,panss,,dropdown,G15 Preoccupation,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
active_social_avoid,panss,,dropdown,G16 Active Social Avoidance,"1, 1 Absent|2, 2 Minimal|3, 3 Mild|4, 4 Moderate|5, 5 Moderate Severe|6, 6 Severe|7, 7 Extreme",,,,,
panss_pos,panss,,calc,Positive Sub-Scale,([delusions]+[concept_disorgan]+[halluc_behavior]+[excitement_yms]+[grandiosity]+[suspicious_persecution]+[hostility]),,,,,
panss_neg,panss,,calc,Negative Sub-Scale,([blunted_affect]+[emotion_withdraw]+[poor_rapport]+[passive_social_withdraw]+[diffculty_abstract]+[spontaneity_conversation]+[sterotyped_thinking]),,,,,
panss_gen,panss,,calc,General Sub-Scale,([somatic_concern]+[anxiety]+[guilt]+[tension]+[mannerisms_posturing]+[depression]+[motor_retard]+[uncooperative]+[unusual_thought]+[disorientation]+[poor_attention]+[judgment_insight]+[disturb_volition]+[impulse_control]+[preoccupation]+[active_social_avoid]),,,,,
panss_total,panss,,calc,Total Score,[panss_pos]+[panss_neg]+[panss_gen],,,,,
mu02_1,belief_updating_data,,text,mu02_1,,,,,,
mu03_1,belief_updating_data,,text,mu03_1,,,,,,
kappa2_1,belief_updating_data,,text,kappa2_1,,,,,,
omega2_1,belief_updating_data,,text,omega2_1,,,,,,
omega3_1,belief_updating_data,,text,omega3_1,,,,,,
bic_1,belief_updating_data,,text,BIC_1,,,,,,
mu02_2,belief_updating_data,,text,mu02_2,,,,,,
mu03_2,belief_updating_data,,text,mu03_2,,,,,,
kappa2_2,belief_updating_data,,text,kappa2_2,,,,,,
omega2_2,belief_updating_data,,text,omega2_2,,,,,,
omega3_2,belief_updating_data,,text,omega3_2,,,,,,
bic_2,belief_updating_data,,text,BIC_2,,,,,,
prl_avgrt,belief_updating_data,,text,PRL_AvgRT,,,,,,
prl_reversals,belief_updating_data,,text,PRL_Reversals,,,,,,
prl_winstay,belief_updating_data,,text,PRL_WinStay,,,,,,
prl_winshift,belief_updating_data,,text,PRL_WinShift,,,,,,
prl_loseshift,belief_updating_data,,text,PRL_LoseShift,,,,,,
prl_losestay,belief_updating_data,,text,PRL_LoseStay,,,,,,
prl_probloss,belief_updating_data,,text,PRL_ProbLoss,,,,,,
prl_suboptimal,belief_updating_data,,text,PRL_suboptimal,,,,,,
prl_winstayrate,belief_updating_data,,text,PRL_WinStayRate,,,,,,
prl_winshiftrate,belief_updating_data,,text,PRL_WinShiftRate,,,,,,
prl_loseshiftrate,belief_updating_data,,text,PRL_LoseShiftRate,,,,,,
prl_losestayrate,belief_updating_data,,text,PRL_LoseStayRate,,,,,,
totalscore,belief_updating_data,,text,TotalScore,,,,,,
eii,bade_summary,,text,EII,,,number,,,
prb,bade_summary,,text,PRB,,,number,,,
